question_id,prompt,A,B,C,D,E,answer,difficulty
514,"William Jennings Bryan's ""Cross of Gold"" speech at the Democratic Convention of 1896 proposed which of the following?",That the United States maintain the gold standard ,That a cross of gold be erected on the White House lawn ,That silver be coined to inflate the U.S. currency ,That churches pay income taxes to aid the poor ,That the United States sell gold to foreign investors,C,0.49
515,Cesar Chavez became prominent in the 1960s as,the speaker of the house in Texas ,a bilingual television host in California ,the head of an organization that promoted Hispanic boxers ,the leader of the United Farm Workers ,the first Hispanic mayor of a U.S. city,D,0.97
516,The first President of the Independent Republic of Texas was,Sam Houston ,Walter Dallas ,Stephen F. Austin ,Jim Bowie ,Dallas Green,A,0.69
517,All the following innovations were a direct result of the growth of U.S. cities from 1865 to 1900 EXCEPT:,the elevator ,the skyscraper ,the automobile ,trolley cars ,steel frame construction,C,0.26
518,"One of the best ways to cope with (fear), is to turn it around and put it out to others . . . if you are afraid of the dark, you put the audience in a dark theater. I had a great fear of the ocean. This quotation most likely describes which of the following blockbuster American films?",Gone With the Wind ,Star Wars ,Jaws ,The Sound of Music ,The Wizard of Oz,C,0.2
519,Which of the following made New York the first state to grant women the right to own property?,"The Nineteenth Amendment, 1920 ","The Married Women's Property Act, 1848 ","The Emancipation Proclamation, 1863 ","The Seneca Falls Declaration of Sentiments, 1848 ","The Fourteenth Amendment, 1868",B,0.45
520,Which of the following helped make the Second Great Awakening a success?,The growth of Lutheranism ,Early German immigration ,The preaching of Jonathan Edwards ,A decline in Protestant denominations ,"Circuit riders, or itinerant ministers",E,0.98
521,Which of the following is a nickname for the gener ation born between 1945 and 1965?,The lost generation ,The beat generation ,The baby boom generation ,The peace generation ,Generation X,C,0.93
522,"Which of the following is a broad program created by Martin Luther King, Jr., to confront the issues of U.S. economic inequalilty and poverty regardless of race.",The Poor People's Campaign ,The March on Washington ,Affirmative action ,Black power ,War on Poverty,A,0.62
523,Which of the 13 British colonies was founded on the southern frontier of British North America to provide a fresh start for debtors?,South Carolina ,Virginia ,Florida ,Georgia ,North Carolina,D,0.71
524,Pickett's Charge became the turning point for the Union against the Confederacy in which of the following Civil War battles?,Chancellorsville ,Gettysburg ,Antietam ,Vicksburg ,Second Bull Run,B,0.25
525,During the 1860s and 1870s federal troops repeat edly clashed with Native Americans in which of the following regions?,Northeast ,Great Lakes ,Southeast ,Mississippi Valley ,Great Plains,E,0.02
526,Which of the following proposed a 1930s relief program in which money would be taken from the wealthy and given to the poor?,Harold Ickes ,Huey Long ,John Nance Garner ,Alf Landon ,Father Charles Coughlin,B,0.03
527,Mary Boykin Chesnut is best known for which of the following?,Writing a diary that documents home life on the plantation during the Civil War ,"Acting as a spy, passing secret troop placements to the Union ",Writing newspaper editorials opposing the Confederacy ,Running for the Senate in 1864 ,Harboring runaway slaves in South Carolina,A,0.13
528,Which group opposed ratification of the Constitution because its members feared a powerful national government?,Whigs ,Continentalists ,Tories ,Democratic-Republicans ,Antifederalists,E,0.46
529,"Which of the following leaders did NOT sign the Treaty of Versailles, ending World War I?",Woodrow Wilson ,Georges Clemenceau ,Vittorio Orlando ,Henry Cabot Lodge ,David Lloyd George,D,0.79
530,The active colonial protest group called Sons of Lib erty first organized in which of the following cities?,Philadelphia ,New York ,Boston ,Williamsburg ,Charleston,C,0.63
531,Powers shared by the federal and state governments are called,concurrent powers ,sovereign powers ,bicameral powers ,reduced powers ,federal powers,A,0.8
532,The first election in which the Twenty-Sixth Amend ment (allowing 18-year olds to vote) was in effect was held in,1948,1964,1972,1976,1980,C,0.05
533,"The term ""planned obsolescence"" refers to which of the following?",The practice of letting a contract expire ,An urban planning strategy designed to rebuild neighborhoods on a timed schedule ,The business practice of manufacturing products specifically designed to go out of style and be replaced by new models ,A temporary construction site ,The government system for maturing savings bonds,C,0.32
534,The skyscraper boom in U.S. cities was facilitated by Elisha Otis's development of,the revolving door ,the elevator ,the telephone ,refrigeration ,the lightbulb,B,0.88
535,Which of the following Eastern tribes was NOT a member of the Iroquois League?,Seneca ,Mohawk ,Onondaga ,Delaware ,Cayuga,D,0.78
536,"Which prominent U.S. inventor was known as ""the Wizard of Menlo Park""?",Albert Einstein ,Alexander Graham Bell ,Henry Ford ,Tobias Fuller ,Thomas Edison,E,0.63
537,"All the following statements support the theory that the West was developed by big business, big government, and technology EXCEPT:","The government gave away land to anyone who would claim it, live on it, and farm it. ",The railroad companies brought thousands of Chinese immigrants to the West. ,The U.S. Army protected the settlers and evicted Native Americans. ,The railroad made it possible to transport necessary supplies to pioneer farmers in rural areas. ,Farmers had no national association to which they could apply for help.,E,0.11
538,"The phrase ""Great White Hope"" refers to which of the following?","Babe Ruth, whose home run hitting restored faith in baseball after the Black Sox scandal of 1919 ",Boston Celtics basketball star Larry Bird ,The women's gymnastics team at the 1980 Olympic Games ,"A white boxer good enough to defeat Jack Johnson, world heavyweight champion in 1908 ",Swedish tennis champion Bjorn Borg,D,0.61
539,All the following factors combined to cause the United States to declare war on Great Britain in 1812 EXCEPT:,U.S. desire to acquire Canada and Florida ,bumbling policies of President James Madison ,impressment of U.S. sailors into the British Navy ,British alliance with and support of Native American tribes ,"U.S. purchase of New France, later called the Louisiana Territory",E,0.43
540,In 1837 Horace Mann worked for all the following publicschool reforms in Massachusetts EXCEPT:,raising teacher salaries ,pressuring the legislature to increase funding for schools ,opening the nation's first public high schools ,starting teacher training schools ,updating the curriculum,C,0.78
541,Some historians date the start of the Civil War to April 1861 when,John Brown led a raid on the federal arsenal at Harpers Ferry ,South Carolina seceded from the United States ,"Confederate forces fired on Fort Sumter, South Carolina ",President Lincoln issued the Emancipation Proclamation ,"Union troops laid siege to Richmond, Virginia",C,0.88
542,The primary cause of the market revolution of the early 1800s was,the creation of a national bank ,the building of national roads and canals ,the abandonment of the gold standard ,the development of refrigeration ,the signing of an international trade agreement,B,0.13
543,The Voting Rights Act of 1975 stated which of the following?,Young people between the ages of 18 and 21 had the right to vote. ,People must register with a political party in order to vote. ,Resident aliens could vote in local elections. ,People did not have to reveal which candidates they voted for. ,Voting materials must be made available in a variety of languages.,E,0.98
544,"The party reached out mostly to men, to young, black urban men who were on the streets, who knew that there were no options somewhere in their lives. The speaker of the above quotation most likely is referring to which of the following?",The Black Panther Party ,The civil rights movement ,The Reform Party ,The Urban League ,The Socialist Party,A,0.66
545,Which of the following was NOT a U.S. victory in the Pacific in World War II?,The attack on Guadalcanal ,The Battle of the Coral Sea ,The Battle of the Bulge ,The Battle of Midway ,The Battle of Leyte Gulf,C,0.23
546,Congress passed the War Powers Act primarily because,Presidents Johnson and Nixon had usurped congressional authority in making war on Vietnam ,the United States had not achieved a clear victory in Vietnam ,the Vietnam War had been unpopular with the voters from the beginning ,Congress believed that only the president should have the power to declare war ,the public wanted to end the military draft and replace it with an all-volunteer army,A,0.84
547,The U.S. Department of Agriculture was created primarily to assist which of the following?,tenant farmers who were forced off their land during the Dust Bowl era ,former slaves who wanted to acquire homesteads in the West ,miners who fought against unsafe working conditions ,struggling farmers on the Great Plains ,ranchers who wanted to import a healthier breed of cattle,D,0.89
548,"The Atlantic Charter, signed by the United States and Great Britain in 1941, stated all the following EXCEPT:",Aggressor nations would be disarmed after the end of the war. ,All nations had the right to choose their own form of government. ,All nations should have equal and free access to international trade. ,The United States and Great Britain would not expand their territory. ,Germany would be split into two nations at the end of the war.,E,0.52
549,I didn't want to believe it at first-people protest ing against us when we were putting our lives on the line for our country. The speaker of the above quotation is most likely a veteran of the,Korean War ,Vietnam War ,Persian Gulf War ,invasion of Afghanistan ,war in Iraq,B,0.94
550,All the following are major photojournalists of the Great Depression EXCEPT:,Margaret Bourke-White ,Walker Evans ,Althea Gibson ,Dorothea Lange ,Gordon Parks,C,0.62
551,"The first U.S. school where women and African Americans, as well as men, could earn a four-year college degree was","Oberlin College, Oberlin, Ohio ","Bryn Mawr College, Bryn Mawr, Pennsylvania ","Harvard University, Cambridge, Massachusetts ","Yale University, New Haven, Connecticut ","The University of Pennsylvania, Philadelphia, Pennsylvania",A,0.77
552,"Which of the following works of the American the ater explicitly compares McCarthyism to the Puritan ""witch hunts"" of Salem, Massachusetts?",A Man for All Seasons by Robert Bolt ,The Crucibleby Arthur Miller ,Strange Interludeby Eugene O'Neill ,Angels in Americaby Tony Kushner ,Assassins by Stephen Sondheim,B,0.36
553,"Samuel Colt's revolver, which was patented in the United States in 1836, revolutionized armed combat because of which of the following innovations?",It did not have to be taken apart during reloading. ,It could be used as either a firing weapon or a bayonet. ,It had sights along the barrel that improved accuracy. ,It could be fired six times before being reloaded. ,It enabled the soldier to shoot from a greater distance.,D,0.78
554,"Which of the following machines, invented in 1793, was primarily responsible for an economic boom in the South?",Eli Whitney's cotton gin ,Robert Fulton's steam engine ,Henry Bessemer's steel converter ,John Deere's tractor ,Edwin L. Drake's oil drill,A,0.81
555,The Great Migration took place during which of the following decades?,1920s ,1850s ,1890s ,1960s ,1990s,A,0.44
556,The growth of the railroad industry in the 1870s stimulated all the following EXCEPT:,settlement of Western states ,growth in the steel industry ,expansion of markets for trade and sales ,high employment rates ,development of the automobile,E,0.55
557,"James Madison, Alexander Hamilton, and John Jay were all",members of President George Washington's cabinet ,signers of the Declaration of Independence ,authors of the  Federalist Papers ,prominent Antifederalists ,heroes of Revolutionary War battles,C,0.24
558,All the following characterize the Native American literary tradition EXCEPT:,trickster tales ,creation stories ,fables featuring animal characters ,tales based on the sacred books of Native American religion ,stories passed down orally over generations,D,0.39
559,During the 1770s punitive Acts of Parliament were aimed primarily at Massachusetts because,Massachusetts's governor was a member of the Sons of Liberty ,Bostonians had provoked the Boston Massacre and had held the Boston Tea Party ,the stamp agent for Massachusetts had been attacked and thrown out of town ,the Massachusetts legislature had abolished slavery throughout the colony ,the people of Massachusetts did not believe in the separation of church and state,B,0.81
560,The main components of Henry Clay's American System were,"a canal, railroads, and lower taxes ","low tariffs, public education, military spending, and agriculture ","a national bank, a protective tariff, and a national transportation system ","trade with Europe, income taxes, and deficit spending ","states' rights, local transportation, and a tax on Southern farmers",C,0.89
561,All the following were possible motives for President Harry S. Truman using the atomic bomb against Japan EXCEPT:,Japan refused to surrender. ,Truman wanted to dismantle Japan's nuclear facilities. ,the bombing could prevent a costly U.S. land invasion of Japan. ,Truman wished to demonstrate the power of the bomb to the Soviet Union. ,The United States wanted revenge for Japan's attack on Pearl Harbor.,B,0.24
562,"As the automobile industry developed, it promoted the growth of all the following EXCEPT:",the asphalt and road-paving industries ,the advertising business ,the oil-refining industry ,the telephone and telegraph industries ,the importation of rubber,D,0.08
563,"The nickname ""Star Wars"" refers to which of the following?",Public arguments among cabinet members during the Ford administration ,The race to be the first nation to land an astronaut on the moon ,A missile-based defense system conceived by President Ronald Reagan ,The race for the top ratings for the evening network news broadcasts in the 1990s ,Special Prosecutor Kenneth Starr's tactics during his investigation of allegations against President Bill Clinton,C,0.53
564,Jazz is a blend of all the following musical influences EXCEPT:,spirituals ,the blues ,hymns ,work songs ,ragtime,C,0.25
565,"It was a pleasure to live in those good old days, when a Federalist could knock a Republican down in the streets and not be questioned about it. The speaker of the above quotation most likely was referring to which decade in history?",1800s ,1850s ,1870s ,1920s ,1960s,A,0.44
566,Which political party was formed during the 1890s to address the concerns of U.S. farmers?,Democratic Party ,Republican Party ,Progressive Party ,Populist Party ,Socialist Party,D,0.33
567,African Americans and women first served in combat duty in which of the following wars?,Revolutionary War ,World War I ,Vietnam War ,Persian Gulf War ,War in Iraq,A,0.02
568,Which of the following groups did NOT help form the Free-Soil Party in 1848?,Abolitionists ,Farmers ,Industrial workers ,Land reformers ,Southern conservatives,E,0.8
569,Which of the following works would be most useful to a historian researching the living conditions of immigrants in New York City in the 1890s?,The House of Mirth by Edith Wharton ,How the Other Half Livesby Jacob Riis ,Theory of the Leisure Classby Thorstein Veblen ,The Bloodhounds of Broadway by Damon Runyon ,The Gangs of New York by Herbert Asbury,B,0.89
570,Civil rights groups opposed the Vietnam War primarily because,they supported the North Vietnamese and the communists ,the media had stopped covering the civil rights movement in order to cover the war news ,money that had been earmarked for social programs was diverted to military use ,they objected to the war on religious and pacifist grounds ,they wanted to prevent the reelection of President Lyndon Johnson,C,0.04
571,Accusations of improper conduct in the personal life of a candidate for high office are an example of which of the following?,Muckraking ,Mudslinging ,Gerrymandering ,Grandstanding ,Posturing,B,0.28
572,"Whenever I hear anyone arguing for slavery, I feel a strong impulse to see it tried on him personally. The speaker of the above quotation is probably which of the following?",Jefferson Davis ,Abraham Lincoln ,Theodore Roosevelt ,Stephen Douglas ,Robert Lee,B,1
573,The precedent for a free press in the United States was set by a trial involving which of the following?,Thomas Paine ,John Peter Zenger ,Samuel Adams ,Phillis Wheatley ,Frederick Douglass,B,0.62
574,"In 1837, Democratic Party members of Congress passed a ""gag rule"" forbidding any discussion or debate of",corruption ,sedition ,abolition ,expansion ,imperialism,C,0.99
575,Which of the following established a court system in the United States?,The Articles of Confederation ,The Bill of Rights ,The Fifth Amendment ,The Sixth Amendment ,The Judiciary Act of 1789,E,0.9
576,"A man who is good enough to shed his blood for his country is good enough to be given a square deal afterwards. More than that no man is entitled to, and less than that no man shall have. Which of the following is most likely true of the speaker of the above quotation?",He believed in equal opportunities for people of all social classes. ,He approved of U.S. involvement in foreign wars. ,He felt that veterans were entitled to special benefits. ,He was likely to side with owners rather than workers in labor disputes. ,He supported an all-volunteer military rather than a military draft.,A,0.25
577,All of the following were proposals of Alexander Hamilton EXCEPT:,a national bank ,repeal of the whiskey tax ,protective tariffs ,the federal government should assume state debts incurred during the Revolution ,direct support to industry by government subsidies,B,0.96
578,Which of the following did President Abraham Lincoln quote from in his Gettysburg Address?,The Constitution ,The Declaration of Independence ,Common Sense ,The  Federalist Papers ,The Emancipation Proclamation,B,0.16
579,The American Federation of Labor was founded in 1886 as a result of,the Haymarket Riot ,the election of President Grover Cleveland ,a severe financial panic ,federal legislation ,negotiations between owners and workers,A,0.32
580,Which of the following spurred young people in the United States to push for the ratification of the Twenty-Sixth Amendment?,Opposition to the Vietnam War ,Support for a Republican administration ,Concern for veterans' rights ,Commitment to civil rights for all Americans ,Determination to ensure equal rights for men and women,A,0.33
581,Which of the following was designed to enforce the provisions of the Eighteenth [Prohibition] Amendment?,Kansas-Nebraska Act ,War Powers Act ,Voting Rights Act ,Volstead Act ,Pure Food and Drug Act,D,0.88
582,A supporter of the Niagara Movement of 1905 prob ably would applaud all the following EXCEPT:,civil rights ,federal antilynching legislation ,integration of the public schools ,the African Colonization Society ,the founding of the NAACP,D,0.7
583,"To show their opposition to the Stamp Act, colonists took all the following actions EXCEPT:",holding a meeting of colonial leaders in New York City ,calling up the members of the various colonial militias to active duty ,passing local legislation that declared the Stamp Act illegal ,refusing to purchase any products imported from Great Britain ,tarring and feathering the stamp agents,B,0.88
584,All the following are major African-American literary figures EXCEPT:,Frederick Douglass ,Richard Wright ,Ralph Ellison ,James Weldon Johnson ,Harriet Beecher Stowe,E,0.98
585,The Erie Canal connected the Great Lakes with which of the following?,The Pacific Ocean ,The Mississippi River ,The Hudson River ,The Cumberland Road ,The Chesapeake Bay,C,0.33
586,All the following contributed to President Franklin D. Roosevelt's election to an unprecedented third term EXCEPT:,his skill at conducting the war in Europe ,his outstanding skill as a political campaigner ,his success in creating jobs ,his opponent's failure to offer attractive alternatives to Roosevelt's policies ,his enormous personal popularity and ability to inspire people with his courage and optimism,A,0.06
587,W. E. B. DuBois disagreed with Booker T. Wash ington's argument against African-American politi cal activism primarily because,DuBois felt that African Americans' political activism would force the white majority to correct racial injustice ,DuBois felt that only African Americans had any right to speak about racial issues ,DuBois felt that Washington was a tool of the white majority ,DuBois had no faith in African Americans' ability to help themselves ,DuBois supported the African Colonization Society,A,0.11
588,President Harry S. Truman ordered the dropping of atomic bombs on Japanese cities primarily because,he wanted to save U.S. lives by forcing the Japanese to surrender ,he wanted to intimidate the German Army into surrendering ,he wanted the United States to be in the strongest possible position during peace negotiations with the other Allied Powers ,he wanted Japan to shut down its own nuclear facilities ,he wanted to destroy the capital city of Japan,A,0.54
589,The resignations of which two men made Gerald R. Ford president of the United States?,Bob Haldeman and John Erlichman ,Spiro Agnew and Richard Nixon ,Jimmy Carter and Ronald Reagan ,Robert Kennedy and Lyndon Johnson ,Henry Morgenthau and Harold Ickes,B,0.95
590,Which of the following most accurately defines Transcendentalism?,The belief that people can rise above material things in life to reach a higher understanding ,The belief that one religion could transcend denominationalism ,The belief that the Puritan faith could be combined with Unitarianism ,The belief that Native Americans could never attain heaven ,The belief in predestination and God's assignment at birth of people to their fate,A,0.32
591,"The Sixteenth Amendment, passed in 1913, did which of the following?",Made the sale of alcoholic beverages illegal ,Gave women the right to vote ,Allowed for direct election of U.S. senators ,Enabled Congress to levy taxes on income ,Raised the voting age to 21,D,0.83
592,The Lincoln-Douglas debates took place during,the presidential election of 1860 ,the presidential election of 1864 ,the congressional debate over secession ,the House of Representatives elections of 1854 ,the Senate elections of 1858,E,0.98
593,The Wright Brothers developed an airplane using experience gained from,working with locomotives and large engines ,operating a bicycle shop and experimenting with small engines ,repairing tractors and farm equipment ,designing steam engines ,manufacturing sewing machines,B,0.51
594,Which of the following describes one major effect of President Warren G. Harding's economic policies?,The elimination of tariffs on imported goods ,A rise in union membership ,Increased profits for business owners ,Increased profits for farmers ,Strict enforcement of antitrust legislation,C,0.43
595,Which of the following took its name from a British political party that opposed the power of the monarch?,The Know-Nothings ,The Mugwumps ,The Republicans ,The Bull Moose Party ,The Whigs,E,0.1
596,The Native American literary tradition can be best described as which of the following?,Classical poetry ,Folk songs ,Sermons ,Creation myths and legends ,Oral history,D,0.43
597,Which of the following commanded the United States Expeditionary Forces during World War I?,John J. Pershing ,George S. Patton ,Douglas MacArthur ,Nathanael Greene ,Dwight D. Eisenhower,A,0.32
598,"The remains of one of the most sophisticated prehis toric native civilizations north of Mexico are pre served at Cahokia, Illinois. The people who lived at this site were called:",the Toltec ,the Choctaw ,the Mound Builders ,the Creek Nation ,the Anasazi,C,0.12
599,". . . government of the people, by the people, for the people, shall not perish from the earth. This statement was first made in which of the following?",The Preamble to the Constitution ,The Declaration of Independence ,The Magna Carta ,The Fifteenth Amendment ,The Gettysburg Address,E,0.48
600,The total value of all goods and services produced in a nation during a given year is referred to as,the federal deficit ,the import-export ratio ,the federal budget ,the gross national product ,the distribution of wealth,D,0.26
601,The Iran hostage crisis had an impact on which presidential election?,1972,1976,1980,1984,1988,C,0.67
602,Spirituals were of great importance to which of the following?,The Methodist Church ,Occult groups in New Orleans ,Slaves on plantations ,Catholic missions in the Southwest ,Immigrant funerals,C,0.94
603,Which of the following best describes Andrew Carnegie's practice of acquiring companies that pro vided raw materials and services for his steel business?,Vertical integration ,Lateral growth ,Cross-disciplinary exploitation ,Venture capitalism ,Horizontal integration,A,0.22
604,The ability to get to the verge without getting into war is the necessary art. The speaker is describing which of the following?,Brinksmanship ,Appeasement ,Imperialism ,Dollar diplomacy ,Containment,A,0.25
605,Which of the following was NOT an action author ized by the Federal Trade Commission (FTC) in 1914?,The investigation of corporations ,A ban on fraudulent or unfair business practices ,The use of the courts to enforce FTC rulings ,The levying of taxes on interstate commerce ,The targeting of abuses such as mislabeling and false claims,D,0.07
606,Which of the following constituted the most signifi cant international impact of the War of 1812?,It caused diplomatic tensions between the United States and Spain. ,It forced France to nullify the Louisiana Purchase. ,It lessened shipping commerce on the Great Lakes. ,It forced the United States to police the Atlantic Ocean. ,It removed the British from the Northwest Territories,E,0.69
607,George Washington's first cabinet consisted of,"secretaries of war, state, commerce, and treasury ","attorney and postmaster generals and secretaries of state, treasury, and war ","secretaries of war, state, labor, and commerce ","secretaries of war, state, treasury, commerce, and Indian affairs ","chief justice, attorney general, and secretaries of state, war, and treasury",B,0.26
608,"Congressional Republicans challenged President Clinton's domestic agenda in 1994 with their own proposals, popularly known as",the Reform Act ,the Economic Initiative ,the Contract with America ,the McCain-Feingold Bill ,Operation Restore Hope,C,0.99
609,"The Zapruder film, which was shot with a hand-held camera in 1963, depicts which of the following?",The invention of the hula hoop ,The construction of the  Pioneer 6 spacecraft ,The development of the measles vaccine ,The assassination of President John F. Kennedy ,The Watergate hearings,D,0.29
610,All or parts of the following present-day states were part of the Mexican Cession EXCEPT:,California ,Nevada ,Utah ,Colorado ,Oklahoma,E,0.43
611,The first 10 constitutional amendments are known as,the Bill of Rights ,Article VIII of the Constitution ,the Civil Rights amendments ,the elastic clause ,the Federalist amendments,A,0.19
612,There never has yet existed a wealthy and a civi lized society in which one portion of the community did not . . . live on the labor of another. The speaker of the above quotation was defending which of the following?,The establishment of the Confederacy ,South Carolina's right to secede from the United States ,the creation of the National Bank ,The institution of slavery ,The doctrine of nullification,D,0.41
613,The two-party political system emerged in part because of which of the following?,Progressivism ,Civil unrest ,Sectionalism ,Republicanism ,Nationalism,C,0.75
614,Which one of the following people became the first female pilot to complete a solo transatlantic flight?,Charles Lindbergh ,Harriet Quimby ,Bessie Coleman ,Gertrude Ederle ,Amelia Earhart,E,0.95
615,The government's policy of allowing cattle ranchers to let their herds graze on public land was called,the roundup ,range riding ,the long drive ,rustling ,open range,E,0.38
616,Which of the following best describes the purpose of the Seneca Falls Convention of 1848?,To unite the Native American tribes of New York State ,To discuss agricultural problems for farmers in the Eastern states ,To form a society to advance the rights of women ,To discuss antislavery strategies ,To select a leader for a group of evangelist congregations,C,0.76
617,The turning point of the Revolutionary War was a battle fought at,"Bunker Hill, Massachusetts ","Saratoga, New York ","Brandywine, Pennsylvania ","Cowpens, South Carolina ","Ticonderoga, Vermont",B,0.66
618,Which of the following was a marketing innovation of General Motors in the 1920s to help consumers buy more expensive cars?,Subliminal advertising ,Rebates ,Discounts for trading in an old car ,Bargaining ,The installment plan,E,0.82
619,Which of the following was most likely NOT a goal of George W. Bush in creating the Department of Homeland Security?,Improving airport security ,Protecting transportation systems from attack ,Expanding law-enforcement powers to combat terrorism ,Building impenetrable walls along the Mexican and Canadian borders ,Protecting vital power networks from attack,D,0.81
620,Which faction formed in opposition to President Rutherford B. Hayes's support of civil-service reform?,Progressives ,National Grangers ,Populists ,Half-Breeds ,Stalwarts,E,0.76
621,Uncle Tom's Cabin provoked strong reactions in the South because,it justified Southerners' view that slavery was morally permissible ,it depicted slavery as wrong and slaveholders as corrupt ,it depicted romantic relations between African Americans and whites ,it predicted that the South would lose the Civil War ,it had no white characters,B,0.11
622,Which of the following helped the Pilgrims survive their first year in Plymouth by showing them how to grow crops?,Pocahontas ,Sacagawea ,Squanto ,Powhatan ,Sequoya,C,0.71
623,Which of the following geographical markings established the boundary between the United States and Spanish Florida in 1795?,The 38th parallel ,Fifty-four/forty ,"Seventy-six degrees longitude, forty degrees latitude ",The 31st parallel ,The Tropic of Cancer,D,0.77
624,Which of the following most aptly describes Booker T. Washington's belief about the key to social and political equality for African Americans?,Economic independence through training and education ,Protesting against discrimination ,Overthrowing the U.S. government ,Militant opposition to U.S. policies ,Activist religious organizations,A,0.95
625,During Prohibition people drank alcohol at places called,back-room pubs ,bathtub gin mills ,stills ,speakeasies ,fraternity clubs,D,0.42
626,"Which of the following congressional actions gave the president authority to take ""all necessary meas ures to repel any attack against forces of the United States""?",The Bursum Bill ,The Dawes Act ,The Tonkin Gulf Resolution ,The Smoot-Hawley Tariff ,The War Powers Act,C,0.49
627,Sitting Bull was an important spiritual leader of the,Apache ,Comanche ,Navajo ,Sioux ,Creek,D,0.9
628,Shays' Rebellion in 1786 is significant because it,gave the U.S. militia a chance to demonstrate its efficiency ,raised doubts about the ability of a decentral ized government to deal with civil unrest ,opened the door to westward expansion ,united farmers against Native Americans ,allowed former Revolutionary War officers to take up arms again,B,0.01
629,All the following were major crops in the antebellum South EXCEPT:,cotton ,tobacco ,maple syrup ,rice ,sugarcane,C,0.48
630,"Nearly 600,000 U.S. lives were claimed in 1918-1919 by",an epidemic of influenza ,World War I ,an outbreak of polio ,violent labor strikes ,border violence with Mexico,A,0.17
631,"President Richard Nixon and Secretary of State Henry Kissinger shared a belief in ""realpolitik,"" which is best described as",a realistic belief in the ideal of democracy over any other interests ,a foreign policy that puts human rights first ,a foreign policy patterned after that of Germany ,diplomacy guided by the writings of Immanuel Kant ,a foreign policy guided by national interests rather than ideals,E,0.31
632,"Which of the following was the first major farmers' organization, founded in 1867?",The 4-H Club ,The National Grange ,The Alliance ,The American Federation of Labor ,FarmAid,B,0.81
633,Which of the following was a severe low point for the Continental Army in the Revolutionary War?,The siege of Boston ,The Battle of Brandywine ,The Battle of Trenton ,The winter at Valley Forge ,The surrender at Yorktown,D,0.25
634,Balboa's sighting of the Pacific Ocean and Magellan's voyage around the tip of South America motivated other European explorers to seek which of the following?,A land route to India ,Spanish permission to sail the Pacific ,A caravan route to the Indies ,A Northwest Passage to the Pacific and Asia ,The Middle Passage to the Americas,D,0.02
635,Which of the following five Republicans who ran for president in 1824 won the election?,William Crawford of Georgia ,John C. Calhoun of South Carolina ,John Quincy Adams of Massachusetts ,Henry Clay of Kentucky ,Andrew Jackson of Tennessee,C,0.11
636,"During President Theodore Roosevelt's administra tion, the federal government first began making dam aged land productive again in a process called",reclamation ,rejuvenation ,progressivism ,conservation ,preservation,A,0.35
637,Which of the following generals did President Harry S. Truman fire for interfering with peace negotia tions with Korea?,Dwight D. Eisenhower ,Omar Bradley ,Douglas MacArthur ,James Stewart ,Mark Clark,C,0.51
638,A second Industrial Revolution in the late 1800s was generated by innovations in which industries?,Automobile and railroad ,Steel and oil refining ,Telephone and telegraph ,Advertising and radio ,Agriculture and livestock,B,0.52
639,The Twenty-Third Amendment gave residents of the District of Columbia,exemption from the income tax ,the right to sue the federal government ,the right to vote in presidential elections ,exemption from property taxes ,the right to elect their own Congress,C,0.3
640,The Fundamental Orders of Connecticut of 1639 can be described as which of the following?,A set of strict religious guidelines ,Precepts of the Puritans ,A royal charter that established a hierarchy of authority ,A peace treaty with the local Native Americans ,The first written constitution in the colonies,E,0.77
641,Which of the following names the typical shelters built by the first white settlers on the Great Plains?,Adobe houses ,Tepees ,Sod houses ,Log cabins ,Prairie schooners,C,0.09
642,Which of the following explains the original purpose of the Federal Deposit Insurance Corporation (FDIC)?,To force poor people to deposit their income tax returns ,To force employers to insure workers against injury ,To insure corporations exploring for mineral deposits ,"To insure bank deposits up to $5,000 ",To protect banks against securities fraud,D,0.43
643,"The attack launched by North Vietnamese troops on January 30, 1968, is called the Tet Offensive because","January 30 is Tet, the Vietnamese New Year ",Tet is the province where fighting was launched ,General Tet and his staff advisors planned the attack ,the fighting began with the troops crossed the Tet River ,Tet was a Vietnamese code name for the operation,A,0.04
644,Which of the following describes the most popular form of stage entertainment during the late 1800s?,Opera ,Ballet ,Vaudeville ,Musical comedy ,Tableaux,C,0.33
645,Which of the following describes General William T. Sherman's strategy of total war against the Confederacy?,Using both navy and army troops ,Employing all the troops all the time ,Destroying everything that would allow the Confederacy to keep fighting ,Killing all enemies rather than taking them prisoner ,Enlisting civilians to fight,C,0.95
646,The power of the courts to declare an act of Congress unconstitutional was established in the landmark Supreme Court case,Roe v. Wade ,Marbury v. Madison ,McCulloch v. Maryland ,Plessy v. Ferguson ,Dred Scott v. Sandford,B,0.4
647,The Americans with Disabilities Act of 1990 includes all the following EXCEPT:,prohibition of discrimination in employment against qualified individuals with disabilities ,requirement of access for the physically dis abled to all public buildings ,prohibition of discrimination against the men tally handicapped in transportation ,guarantee of fair and easy access to telephone services ,guarantee of scholarship opportunities for peo ple with learning disabilities,E,0.73
648,Madame C. J. Walker became a millionaire in the early 1900s by marketing,canned peas and greens ,Walker's sweet potato pies ,a bottled tonic for digestion ,a hair-conditioning treatment for African American women ,the Walker bicycle for girls,D,0.2
649,The Pilgrims were called Separatists because they had broken with,the king of England ,the Catholics ,the Anglican Church ,the New England Way ,the Jamestown Colony,C,0.1
